,Open,Close*,Previous Day Close,S&P Open,Nikkei Close
2125,5164.7,5312.8,5337.0,1158.67,8287.49
2126,5127.6,5164.7,5312.8,1161.41,8160.01
2127,5222.6,5206.8,5139.8,1192.98,8314.74
2128,5362.9,5222.6,5206.8,1215.62,8348.27
2129,5423.1,5362.9,5222.6,1216.19,8374.91
2130,5509.0,5423.1,5362.9,1236.56,8479.63
2131,5517.4,5509.0,5423.1,1257.81,8463.16
2132,5519.0,5517.4,5509.0,1251.7,8541.93
2133,5545.4,5519.0,5517.4,1263.85,8603.7
2134,5444.8,5545.4,5519.0,1240.12,8514.47
2135,5460.4,5444.8,5545.4,1229.59,8500.8
2136,5567.3,5460.4,5444.8,1275.18,8755.44
2137,5510.8,5567.3,5460.4,1261.12,8655.51
2138,5527.2,5510.8,5567.3,1253.21,8767.09
2139,5545.6,5527.2,5510.8,1260.82,8801.4
2140,5421.6,5484.1,5545.6,1219.62,8640.42
2141,5544.2,5421.6,5484.1,1251.0,8835.52
2142,5702.2,5544.2,5421.6,1284.96,8988.39
2143,5713.8,5702.2,5544.2,1284.39,9050.47
2144,5553.2,5713.8,5702.2,1243.97,8926.54
2145,5525.5,5553.2,5713.8,1229.17,8748.47
2146,5548.1,5525.5,5553.2,1254.19,8762.31
2147,5488.7,5548.1,5525.5,1238.72,8843.98
2148,5384.7,5488.7,5548.1,1215.39,8678.89
2149,5450.5,5384.7,5488.7,1209.92,8682.15
2150,5410.4,5450.5,5384.7,1223.46,8772.54
2151,5436.7,5410.4,5450.5,1200.75,8741.91
2152,5466.4,5436.7,5410.4,1224.47,8879.6
2153,5403.4,5466.4,5436.7,1205.65,8747.96
2154,5441.8,5403.4,5466.4,1206.96,8823.25
2155,5395.7,5441.8,5403.4,1196.19,8738.9
2156,5399.0,5395.7,5441.8,1194.6,8773.68
2157,5291.3,5303.4,5399.0,1165.03,8605.62
2158,5102.2,5291.3,5303.4,1144.11,8522.02
2159,4944.4,5102.2,5291.3,1124.03,8382.98
2160,5075.5,4944.4,5102.2,1097.42,8456.12
2161,5128.5,5075.5,4944.4,1131.21,8545.48
2162,5196.8,5128.5,5075.5,1159.93,8700.29
2163,5217.6,5196.8,5128.5,1151.74,8701.23
2164,5294.1,5217.6,5196.8,1175.39,8615.65
2165,5089.4,5294.1,5217.6,1163.32,8609.95
2166,5066.8,5089.4,5294.1,1136.91,8374.13
